date,note_1,note_10,note_100,note_20,note_5,note_50,year,month,quarter,month_sin,month_cos,banknote_total,banknote_total_lag_1,banknote_total_lag_3,banknote_total_lag_6,banknote_total_lag_12,banknote_total_roll_3,banknote_total_roll_6,banknote_total_roll_12,holiday_count,pre_holiday_count,post_holiday_count,hari_raya,cny,deepavali
2021-05-01,3012.6662655,7099.50651,55675.315575,3909.10911,2894.997075,66160.1593,2021,5,2,0.49999999999999994,-0.8660254037844387,138751.75383549999,138509.827854,135155.9509465,124118.40000000001,123534.20000000001,137559.43047466667,134672.62786566667,128851.18893283333,4,1,0,1,0,0
2021-06-01,2983.81815,6846.29798,55341.083625,3739.73201,2848.26866,65362.572,2021,6,2,1.2246467991473532e-16,-1.0,137121.772425,138751.75383549999,135416.7097345,126479.2146945,121093.1,138127.78470483332,136446.38748741665,130186.91163491667,1,1,4,0,0,0
2021-07-01,2958.804983,6776.52114,55600.351725,3756.17817,2808.536295,66535.27805,2021,7,3,-0.4999999999999997,-0.8660254037844388,138435.670363,137121.772425,138509.827854,133722.310129,123470.4,138103.06554116667,137231.94752641665,131434.0174985,1,2,1,0,0,0
2021-08-01,2942.0285525,6723.578235,56064.855175,3761.69222,2776.11333,67528.902925,2021,8,3,-0.8660254037844384,-0.5000000000000004,139797.1704375,138435.670363,138751.75383549999,135155.9509465,122833.0,138451.53774183334,138005.48410824998,132847.6983682917,2,1,1,0,0,0
2021-09-01,2920.5891615,6697.01523,56465.700525,3777.97089,2748.2739975,68567.81265,2021,9,3,-1.0,-1.8369701987210297e-16,141177.36245400002,139797.1704375,137121.772425,135416.7097345,122464.29999999999,139803.40108483334,138965.59289483333,134407.12023945834,1,1,2,0,0,0
2021-10-01,2911.937547,6708.285375,57186.186925,3842.17164,2734.5997,69390.046025,2021,10,4,-0.8660254037844386,0.5000000000000001,142773.227212,141177.36245400002,138435.670363,138509.827854,124199.3,141249.25336783336,139676.15945449998,135954.947507125,1,0,1,0,0,0
2021-11-01,2909.622096,6691.83206,57619.349325,3854.75403,2727.0057325,69055.268275,2021,11,4,-0.5000000000000004,0.8660254037844384,142857.8315185,142773.227212,139797.1704375,138751.75383549999,124118.40000000001,142269.47372816666,140360.505735,137516.56680033336,0,1,1,0,0,0
2021-12-01,2948.8807235,6997.022465,58697.027275,3948.75171,2821.61233,70550.155125,2021,12,4,-2.4492935982947064e-16,1.0,145963.4496285,142857.8315185,141177.36245400002,137121.772425,126479.2146945,143864.83611966667,141834.11860225,139140.25304483334,1,0,0,0,0,0
2022-01-01,3042.8366285,7667.44901,60914.775025,4161.67144,2997.88893,72883.797725,2022,1,1,0.49999999999999994,0.8660254037844387,151668.4187585,145963.4496285,142773.227212,138435.670363,133722.310129,146829.8999685,144039.57666816667,140635.76209729168,0,2,1,0,0,0
2022-02-01,3020.4277965,7404.96555,60567.783875,3979.95635,2967.83837,70169.5812,2022,2,1,0.8660254037844386,0.5000000000000001,148110.5531415,151668.4187585,142857.8315185,139797.1704375,135155.9509465,148580.80717616665,145425.14045216667,141715.31228020834,2,0,0,0,1,0
